num_of_doors,body_style,drive_wheels,engine_location,length,width,height,curb_weight,num_of_cylinders,engine_size,fuel_system,peak_rpm,city_mpg,highway_mpg,price
0,3,2,0,175.0,66.1,54.4,2700,2,134,3,4200,31,39,18344
0,3,2,0,186.7,68.4,56.7,3075,2,120,5,5000,19,24,15580
0,4,1,0,169.7,63.6,59.1,2280,2,92,1,4800,31,37,6918
0,3,1,0,165.3,63.8,54.5,1971,2,97,1,5200,31,37,7499
1,2,1,0,167.5,65.2,53.3,2289,2,110,0,5800,27,33,9095
0,2,1,0,157.3,63.8,50.6,1967,2,90,1,5500,31,38,6229
1,2,1,0,157.9,63.6,53.7,2120,2,108,1,4400,26,31,7053
0,3,2,0,186.7,68.4,56.7,3252,2,152,3,4150,28,33,16900
1,2,1,0,173.2,66.3,50.2,2811,2,156,4,5000,19,24,12964
1,2,1,0,155.9,63.6,52.0,1874,2,90,1,5400,38,43,6295
1,2,2,0,183.5,67.7,52.0,2976,3,171,5,5200,20,24,16558
1,3,1,0,165.3,63.8,54.5,2017,2,103,3,4800,45,50,7099
0,3,1,0,175.6,66.5,54.9,2326,2,122,5,4200,29,34,8948
0,4,1,0,170.2,63.8,53.5,2024,2,97,1,5200,31,37,7349
1,3,1,0,177.3,66.3,53.1,2507,1,136,5,5500,19,25,15250
1,1,2,0,176.2,65.6,52.0,2540,2,146,5,4800,24,30,8449
1,2,2,0,169.0,65.7,49.6,2380,6,70,2,6000,17,23,11845
1,0,2,1,168.9,65.0,51.6,2800,3,194,5,5900,17,25,37028
1,2,1,0,157.3,64.4,50.8,1918,2,92,1,5500,37,41,5389
0,3,0,0,172.0,65.4,54.3,2385,2,108,1,4800,24,25,9233
1,2,2,0,170.7,67.9,49.7,3071,3,181,5,5200,19,25,17199
0,2,1,0,175.6,66.5,53.9,2458,2,122,5,4200,27,32,11248
1,2,2,0,178.4,68.0,54.8,2910,2,140,5,5000,19,24,16503
0,3,1,0,175.6,66.5,54.9,2480,2,110,3,4500,30,33,10698
1,2,1,0,144.6,63.9,50.8,1819,2,92,0,6000,31,38,6855
1,3,2,0,176.8,64.8,54.3,2710,3,164,5,4250,21,28,20970
0,3,1,0,163.4,64.0,54.5,2010,2,92,0,6000,30,34,7295
1,2,2,0,168.9,68.3,50.2,2778,2,151,5,5500,19,27,22018
1,3,1,0,169.1,66.0,51.0,2293,2,110,1,5500,25,31,10345
0,3,1,0,166.3,64.4,53.0,2081,2,98,1,4800,30,37,6938
1,2,1,0,186.6,66.5,56.1,2808,2,121,5,5500,19,26,18150
1,2,0,0,157.3,63.8,55.7,2240,2,108,1,4400,26,31,7603
1,2,1,0,159.1,64.2,54.1,1900,2,91,1,5000,31,38,6095
0,4,2,0,198.9,68.4,56.7,3285,2,120,5,5000,19,24,16695
1,2,2,0,168.7,64.0,52.6,2300,2,98,5,6600,26,29,9538
0,3,1,0,175.4,65.2,54.1,2465,2,110,5,5800,24,28,12945
1,2,2,0,173.2,66.3,50.2,2818,2,156,6,5000,19,24,12764
1,2,1,0,157.3,64.4,50.8,2004,2,92,1,5500,31,38,6669
1,2,1,0,157.3,63.8,50.8,2128,2,98,6,5500,24,30,7957
0,3,1,0,157.3,63.8,50.6,1989,2,90,1,5500,31,38,7609
0,3,1,0,186.6,66.5,56.1,2847,2,121,5,5500,19,26,18620
0,3,2,0,188.8,68.9,55.5,2952,2,141,5,5400,23,28,16845
0,3,2,0,186.7,68.3,56.0,3130,2,134,5,5600,18,24,18150
1,2,2,0,171.2,65.5,52.4,2823,3,152,5,5000,19,26,16500
1,2,1,0,157.3,64.4,50.8,1944,2,92,1,5500,31,38,6189
1,2,2,0,172.6,65.2,51.4,2734,2,119,7,5000,24,29,11048
0,3,1,0,167.3,63.8,50.8,2191,2,98,1,5500,31,38,7609
1,1,2,1,168.9,65.0,51.6,2756,3,194,5,5900,17,25,34028
0,3,1,0,172.4,65.4,51.6,2365,2,122,1,5000,25,32,6989
1,2,1,0,156.9,63.4,53.7,2050,2,97,1,4900,31,36,5118
0,4,1,0,157.1,63.9,58.3,2024,2,92,0,6000,30,34,7295
0,4,2,0,198.9,68.4,58.7,3485,2,152,3,4150,25,25,17075
1,2,1,0,177.8,66.5,53.7,2385,2,122,1,4800,26,32,10595
1,2,1,0,157.3,63.8,50.8,1876,2,90,1,5500,31,38,6377
0,3,1,0,186.6,66.5,56.1,2758,2,121,5,5250,21,28,15510
0,3,1,0,180.2,66.9,55.1,2579,2,97,3,4500,33,38,13845
1,2,1,0,150.0,64.0,52.6,1940,2,92,0,6000,30,34,6529
0,3,2,0,176.8,64.8,54.3,2395,2,108,5,5800,23,29,16925
0,4,2,0,188.8,67.2,57.5,3157,2,130,5,5100,17,22,18950
1,3,2,0,168.7,64.0,52.6,2169,2,98,1,4800,29,34,8058
0,3,1,0,192.7,71.4,55.7,2844,1,136,5,5500,19,25,17710
1,3,1,0,157.3,63.8,50.6,2191,2,98,5,5500,24,30,8558
1,1,2,1,168.9,65.0,51.6,2756,3,194,5,5900,17,25,32528
