[2024-07-04 21:08:08,240: INFO: main: welcome to my 1st log]
[2024-07-04 21:33:23,358: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-04 21:33:23,365: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-04 21:33:23,368: INFO: common: created directory at: artifacts]
[2024-07-04 21:33:23,371: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-04 21:38:49,442: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-04 21:38:49,447: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-04 21:38:49,451: INFO: common: created directory at: artifacts]
[2024-07-04 21:38:49,455: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-04 21:39:06,614: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-04 21:39:06,620: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-04 21:39:06,624: INFO: common: created directory at: artifacts]
[2024-07-04 21:39:06,626: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-04 21:39:06,679: INFO: 357159626: Read train and test data completed]
[2024-07-04 21:39:29,581: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-04 21:39:29,587: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-04 21:39:29,591: INFO: common: created directory at: artifacts]
[2024-07-04 21:39:29,594: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-04 21:39:29,605: INFO: 357159626: Read train and test data completed]
