num_of_doors,body_style,drive_wheels,engine_location,length,width,height,curb_weight,num_of_cylinders,engine_size,fuel_system,peak_rpm,city_mpg,highway_mpg,price
two,convertible,rwd,front,168.8,64.1,48.8,2548,four,130,mpfi,5000,21,27,13495
two,convertible,rwd,front,168.8,64.1,48.8,2548,four,130,mpfi,5000,21,27,16500
two,hatchback,rwd,front,171.2,65.5,52.4,2823,six,152,mpfi,5000,19,26,16500
four,sedan,fwd,front,176.6,66.2,54.3,2337,four,109,mpfi,5500,24,30,13950
four,sedan,4wd,front,176.6,66.4,54.3,2824,five,136,mpfi,5500,18,22,17450
two,sedan,fwd,front,177.3,66.3,53.1,2507,five,136,mpfi,5500,19,25,15250
four,sedan,fwd,front,192.7,71.4,55.7,2844,five,136,mpfi,5500,19,25,17710
four,wagon,fwd,front,192.7,71.4,55.7,2954,five,136,mpfi,5500,19,25,18920
four,sedan,fwd,front,192.7,71.4,55.9,3086,five,131,mpfi,5500,17,20,23875
two,hatchback,4wd,front,178.2,67.9,52,3053,five,131,mpfi,5500,16,22,6695
two,sedan,rwd,front,176.8,64.8,54.3,2395,four,108,mpfi,5800,23,29,16430
four,sedan,rwd,front,176.8,64.8,54.3,2395,four,108,mpfi,5800,23,29,16925
two,sedan,rwd,front,176.8,64.8,54.3,2710,six,164,mpfi,4250,21,28,20970
four,sedan,rwd,front,176.8,64.8,54.3,2765,six,164,mpfi,4250,21,28,21105
four,sedan,rwd,front,189,66.9,55.7,3055,six,164,mpfi,4250,20,25,24565
four,sedan,rwd,front,189,66.9,55.7,3230,six,209,mpfi,5400,16,22,30760
two,sedan,rwd,front,193.8,67.9,53.7,3380,six,209,mpfi,5400,16,22,41315
four,sedan,rwd,front,197,70.9,56.3,3505,six,209,mpfi,5400,15,20,36880
two,hatchback,fwd,front,141.1,60.3,53.2,1488,three,61,2bbl,5100,47,53,5151
two,hatchback,fwd,front,155.9,63.6,52,1874,four,90,2bbl,5400,38,43,6295
four,sedan,fwd,front,158.8,63.6,52,1909,four,90,2bbl,5400,38,43,6575
two,hatchback,fwd,front,157.3,63.8,50.8,1876,four,90,2bbl,5500,37,41,5572
two,hatchback,fwd,front,157.3,63.8,50.8,1876,four,90,2bbl,5500,31,38,6377
two,hatchback,fwd,front,157.3,63.8,50.8,2128,four,98,mpfi,5500,24,30,7957
four,hatchback,fwd,front,157.3,63.8,50.6,1967,four,90,2bbl,5500,31,38,6229
four,sedan,fwd,front,157.3,63.8,50.6,1989,four,90,2bbl,5500,31,38,6692
four,sedan,fwd,front,157.3,63.8,50.6,1989,four,90,2bbl,5500,31,38,7609
two,sedan,fwd,front,157.3,63.8,50.6,2191,four,98,mpfi,5500,24,30,8558
four,wagon,fwd,front,174.6,64.6,59.8,2535,four,122,2bbl,5000,24,30,8921
two,hatchback,fwd,front,173.2,66.3,50.2,2811,four,156,mfi,5000,19,24,12964
two,hatchback,fwd,front,144.6,63.9,50.8,1713,four,92,1bbl,4800,49,54,6479
two,hatchback,fwd,front,144.6,63.9,50.8,1819,four,92,1bbl,6000,31,38,6855
two,hatchback,fwd,front,150,64,52.6,1837,four,79,1bbl,5500,38,42,5399
two,hatchback,fwd,front,150,64,52.6,1940,four,92,1bbl,6000,30,34,6529
two,hatchback,fwd,front,150,64,52.6,1956,four,92,1bbl,6000,30,34,7129
four,sedan,fwd,front,163.4,64,54.5,2010,four,92,1bbl,6000,30,34,7295
four,wagon,fwd,front,157.1,63.9,58.3,2024,four,92,1bbl,6000,30,34,7295
two,hatchback,fwd,front,167.5,65.2,53.3,2236,four,110,1bbl,5800,27,33,7895
two,hatchback,fwd,front,167.5,65.2,53.3,2289,four,110,1bbl,5800,27,33,9095
four,sedan,fwd,front,175.4,65.2,54.1,2304,four,110,1bbl,5800,27,33,8845
four,sedan,fwd,front,175.4,62.5,54.1,2372,four,110,1bbl,5800,27,33,10295
four,sedan,fwd,front,175.4,65.2,54.1,2465,four,110,mpfi,5800,24,28,12945
two,sedan,fwd,front,169.1,66,51,2293,four,110,2bbl,5500,25,31,10345
four,sedan,rwd,front,170.7,61.8,53.5,2337,four,111,2bbl,4800,24,29,6785
two,sedan,fwd,front,155.9,63.6,52,1874,four,90,2bbl,5400,38,43,14869
four,sedan,fwd,front,155.9,63.6,52,1909,four,90,2bbl,5400,38,43,5389
two,hatchback,rwd,front,172.6,65.2,51.4,2734,four,119,spfi,5000,24,29,11048
four,sedan,rwd,front,199.6,69.6,52.8,4066,six,258,mpfi,4750,15,19,32250
four,sedan,rwd,front,199.6,69.6,52.8,4066,six,258,mpfi,4750,15,19,35550
two,sedan,rwd,front,191.7,70.6,47.8,3950,twelve,326,mpfi,5000,13,17,36000
two,hatchback,fwd,front,159.1,64.2,54.1,1890,four,91,2bbl,5000,30,31,5195
two,hatchback,fwd,front,159.1,64.2,54.1,1900,four,91,2bbl,5000,31,38,6095
two,hatchback,fwd,front,159.1,64.2,54.1,1905,four,91,2bbl,5000,31,38,6795
four,sedan,fwd,front,166.8,64.2,54.1,1945,four,91,2bbl,5000,31,38,6695
four,sedan,fwd,front,166.8,64.2,54.1,1950,four,91,2bbl,5000,31,38,7395
two,hatchback,rwd,front,169,65.7,49.6,2380,two,70,4bbl,6000,17,23,10945
two,hatchback,rwd,front,169,65.7,49.6,2380,two,70,4bbl,6000,17,23,11845
two,hatchback,rwd,front,169,65.7,49.6,2385,two,70,4bbl,6000,17,23,13645
two,hatchback,rwd,front,169,65.7,49.6,2500,two,80,mpfi,6000,16,23,15645
two,hatchback,fwd,front,177.8,66.5,53.7,2385,four,122,2bbl,4800,26,32,8845
four,sedan,fwd,front,177.8,66.5,55.5,2410,four,122,2bbl,4800,26,32,8495
two,hatchback,fwd,front,177.8,66.5,53.7,2385,four,122,2bbl,4800,26,32,10595
four,sedan,fwd,front,177.8,66.5,55.5,2410,four,122,2bbl,4800,26,32,10245
two,sedan,fwd,front,177.8,66.5,55.5,2443,four,122,idi,4650,36,42,10795
four,hatchback,fwd,front,177.8,66.5,55.5,2425,four,122,2bbl,4800,26,32,11245
four,sedan,rwd,front,175,66.1,54.4,2670,four,140,mpfi,5000,19,27,18280
four,sedan,rwd,front,175,66.1,54.4,2700,four,134,idi,4200,31,39,18344
four,sedan,rwd,front,190.9,70.3,56.5,3515,five,183,idi,4350,22,25,25552
four,wagon,rwd,front,190.9,70.3,58.7,3750,five,183,idi,4350,22,25,28248
two,hardtop,rwd,front,187.5,70.3,54.9,3495,five,183,idi,4350,22,25,28176
four,sedan,rwd,front,202.6,71.7,56.3,3770,five,183,idi,4350,22,25,31600
four,sedan,rwd,front,202.6,71.7,56.5,3740,eight,234,mpfi,4750,16,18,34184
two,convertible,rwd,front,180.3,70.5,50.8,3685,eight,234,mpfi,4750,16,18,35056
four,sedan,rwd,front,208.1,71.7,56.7,3900,eight,308,mpfi,4500,14,16,40960
two,hardtop,rwd,front,199.2,72,55.4,3715,eight,304,mpfi,4500,14,16,45400
two,hatchback,rwd,front,178.4,68,54.8,2910,four,140,mpfi,5000,19,24,16503
two,hatchback,fwd,front,157.3,64.4,50.8,1918,four,92,2bbl,5500,37,41,5389
two,hatchback,fwd,front,157.3,64.4,50.8,1944,four,92,2bbl,5500,31,38,6189
two,hatchback,fwd,front,157.3,64.4,50.8,2004,four,92,2bbl,5500,31,38,6669
two,hatchback,fwd,front,157.3,63.8,50.8,2145,four,98,spdi,5500,24,30,7689
two,hatchback,fwd,front,173,65.4,49.4,2370,four,110,spdi,5500,23,30,9959
two,hatchback,fwd,front,173,65.4,49.4,2328,four,122,2bbl,5000,25,32,8499
two,hatchback,fwd,front,173.2,66.3,50.2,2833,four,156,spdi,5000,19,24,12629
two,hatchback,fwd,front,173.2,66.3,50.2,2921,four,156,spdi,5000,19,24,14869
two,hatchback,fwd,front,173.2,66.3,50.2,2926,four,156,spdi,5000,19,24,14489
four,sedan,fwd,front,172.4,65.4,51.6,2365,four,122,2bbl,5000,25,32,6989
four,sedan,fwd,front,172.4,65.4,51.6,2405,four,122,2bbl,5000,25,32,8189
four,sedan,fwd,front,172.4,65.4,51.6,2403,four,110,spdi,5500,23,30,9279
four,sedan,fwd,front,172.4,65.4,51.6,2403,four,110,spdi,5500,23,30,9279
two,sedan,fwd,front,165.3,63.8,54.5,1889,four,97,2bbl,5200,31,37,5499
two,sedan,fwd,front,165.3,63.8,54.5,2017,four,103,idi,4800,45,50,7099
two,sedan,fwd,front,165.3,63.8,54.5,1918,four,97,2bbl,5200,31,37,6649
four,sedan,fwd,front,165.3,63.8,54.5,1938,four,97,2bbl,5200,31,37,6849
four,wagon,fwd,front,170.2,63.8,53.5,2024,four,97,2bbl,5200,31,37,7349
two,sedan,fwd,front,165.3,63.8,54.5,1951,four,97,2bbl,5200,31,37,7299
two,hatchback,fwd,front,165.6,63.8,53.3,2028,four,97,2bbl,5200,31,37,7799
four,sedan,fwd,front,165.3,63.8,54.5,1971,four,97,2bbl,5200,31,37,7499
four,wagon,fwd,front,170.2,63.8,53.5,2037,four,97,2bbl,5200,31,37,7999
two,hardtop,fwd,front,162.4,63.8,53.3,2008,four,97,2bbl,5200,31,37,8249
four,hatchback,fwd,front,173.4,65.2,54.7,2324,four,120,2bbl,5200,27,34,8949
four,sedan,fwd,front,173.4,65.2,54.7,2302,four,120,2bbl,5200,27,34,9549
four,sedan,fwd,front,181.7,66.5,55.1,3095,six,181,mpfi,5200,17,22,13499
four,wagon,fwd,front,184.6,66.5,56.1,3296,six,181,mpfi,5200,17,22,14399
four,sedan,fwd,front,184.6,66.5,55.1,3060,six,181,mpfi,5200,19,25,13499
two,hatchback,rwd,front,170.7,67.9,49.7,3071,six,181,mpfi,5200,19,25,17199
two,hatchback,rwd,front,170.7,67.9,49.7,3139,six,181,mpfi,5200,17,23,19699
two,hatchback,rwd,front,178.5,67.9,49.7,3139,six,181,mpfi,5200,19,25,18399
four,sedan,rwd,front,186.7,68.4,56.7,3020,four,120,mpfi,5000,19,24,11900
four,sedan,rwd,front,186.7,68.4,56.7,3197,four,152,idi,4150,28,33,13200
four,wagon,rwd,front,198.9,68.4,58.7,3230,four,120,mpfi,5000,19,24,12440
four,wagon,rwd,front,198.9,68.4,58.7,3430,four,152,idi,4150,25,25,13860
four,sedan,rwd,front,186.7,68.4,56.7,3075,four,120,mpfi,5000,19,24,15580
